,icmecat_id,sc_insitu,icme_start_time,mo_start_time,mo_end_time,mo_sc_heliodistance,mo_sc_long_heeq,mo_sc_lat_heeq,icme_duration,icme_bmax,icme_bmean,icme_bstd,icme_speed_mean,icme_speed_std,mo_duration,mo_bmax,mo_bmean,mo_bstd,mo_bzmean,mo_bzmin,mo_bzstd,mo_bymean,mo_bystd,mo_speed_mean,mo_speed_std,mo_expansion_speed,mo_pdyn_mean,mo_pdyn_std,mo_density_mean,mo_density_std,mo_temperature_mean,mo_temperature_std,sheath_speed_mean,sheath_speed_std,sheath_density_mean,sheath_density_std,sheath_pdyn_mean,sheath_pdyn_std
46,ICME_SOLO_MOESTL_20211005_01,SolarOrbiter,2021-10-05T01:50Z,2021-10-05T05:09Z,2021-10-05T11:00Z,0.6557,-18.74,2.27,9.17,13.9,10.8,1.7,,,5.85,13.9,11.5,1.6,-1.7,-7.2,3.2,0.2,4.5,,,,,,,,,,,,,,,
47,ICME_SOLO_MOESTL_20211004_01,SolarOrbiter,2021-10-04T00:31Z,2021-10-04T07:01Z,2021-10-04T12:59Z,0.6507,-19.72,2.24,12.47,14.0,10.0,1.2,,,5.97,11.1,9.8,0.7,2.5,-4.2,2.9,-7.5,1.4,,,,,,,,,,,,,,,
48,ICME_Wind_MOESTL_20211001_01,Wind,2021-10-01T12:48Z,2021-10-01T15:12Z,2021-10-02T12:50Z,0.9923,0.23,6.74,24.03,12.9,10.1,2.4,470.5,38.0,21.63,12.9,10.3,2.4,3.9,-6.7,3.9,-0.2,5.0,464.3,34.5,74.0,1.1,1.2,3.4,4.0,26482.1,14305.5,527.0,14.2,3.8,0.9,1.8,0.4
49,ICME_Wind_MOESTL_20210927_01,Wind,2021-09-27T00:20Z,2021-09-27T00:20Z,2021-09-27T20:52Z,0.9935,0.24,6.95,20.53,14.5,9.4,1.9,384.3,8.6,20.53,14.5,9.4,1.9,-0.2,-5.8,3.6,7.6,2.3,384.3,8.6,2.5,2.8,1.0,11.2,3.7,17428.5,8745.6,,,,,,
50,ICME_PSP_MOESTL_20210926_01,PSP,2021-09-26T08:55Z,2021-09-26T23:04Z,2021-09-27T12:36Z,0.7807,-43.07,3.52,27.68,16.1,12.5,2.7,372.8,28.7,13.53,16.1,14.5,1.4,9.8,-4.3,4.5,1.3,7.8,347.2,14.5,,2.4,1.1,12.1,5.6,6765.9,2575.4,393.8,18.6,13.8,4.6,3.6,1.2
51,ICME_BEPI_MOESTL_20210925_02,BepiColombo,2021-09-25T19:06Z,2021-09-25T19:06Z,2021-09-26T03:19Z,0.4348,-47.51,-0.06,8.22,64.3,48.1,9.7,,,8.22,64.3,48.1,9.7,29.7,-2.5,9.2,-31.2,15.7,,,,,,,,,,,,,,,
52,ICME_BEPI_MOESTL_20210925_01,BepiColombo,2021-09-25T07:45Z,2021-09-25T07:45Z,2021-09-25T18:44Z,0.4392,-48.7,-0.12,10.98,63.9,48.5,11.2,,,10.98,63.9,48.5,11.2,4.0,-41.6,22.0,34.6,12.9,,,,,,,,,,,,,,,
53,ICME_Wind_MOESTL_20210917_01,Wind,2021-09-17T01:14Z,2021-09-17T09:52Z,2021-09-17T16:26Z,0.9957,0.25,7.24,15.2,10.2,7.4,1.1,346.9,17.2,6.57,9.7,7.8,0.8,-0.1,-7.6,3.3,-6.1,1.6,355.7,16.8,-10.1,2.4,1.0,11.0,3.6,39636.7,10842.5,340.0,14.1,8.3,2.3,1.6,0.5
54,ICME_BEPI_MOESTL_20210914_01,BepiColombo,2021-09-14T08:41Z,2021-09-14T19:26Z,2021-09-15T08:20Z,0.536,-68.11,-1.0,23.65,39.0,25.7,6.6,,,12.9,39.0,27.6,5.2,-7.3,-37.1,12.3,-21.5,6.4,,,,,,,,,,,,,,,
55,ICME_STEREO_A_MOESTL_20210913_01,STEREO-A,2021-09-13T16:58Z,2021-09-13T16:58Z,2021-09-14T12:22Z,0.9563,-40.85,6.02,19.4,7.4,6.1,0.5,,,19.4,7.4,6.1,0.5,2.7,-3.3,2.9,-1.1,1.9,,,,,,,,,,,,,,,
56,ICME_PSP_MOESTL_20210912_01,PSP,2021-09-12T15:53Z,2021-09-12T15:53Z,2021-09-13T07:39Z,0.721,-38.06,3.23,15.77,13.9,11.2,1.7,,,15.77,13.9,11.2,1.7,5.2,-7.0,5.6,-5.1,3.7,,,,,,18.5,5.4,18280.4,9502.8,,,,,,
57,ICME_Wind_MOESTL_20210910_02,Wind,2021-09-10T22:34Z,2021-09-10T22:34Z,2021-09-11T16:22Z,0.9971,0.25,7.33,17.8,14.8,12.8,1.2,338.6,12.6,17.8,14.8,12.8,1.2,4.7,-4.6,2.5,-3.5,4.9,338.6,12.6,20.4,1.8,0.4,9.3,2.8,27333.2,11864.7,,,,,,
58,ICME_Wind_MOESTL_20210910_01,Wind,2021-09-10T10:42Z,2021-09-10T10:42Z,2021-09-10T22:32Z,0.9972,0.25,7.33,11.83,13.1,11.1,1.1,354.5,5.3,11.83,13.1,11.1,1.1,3.6,-8.8,5.0,-7.7,4.0,354.5,5.3,7.6,3.7,1.2,17.5,5.9,20561.3,9714.6,,,,,,
59,ICME_STEREO_A_MOESTL_20210831_01,STEREO-A,2021-08-31T13:37Z,2021-08-31T13:37Z,2021-08-31T22:12Z,0.9563,-41.9,4.84,8.58,19.8,13.2,4.9,,,8.58,19.8,13.2,4.9,-7.7,-16.6,6.7,2.2,8.7,,,,,,,,,,,,,,,
60,ICME_STEREO_A_MOESTL_20210830_01,STEREO-A,2021-08-30T10:08Z,2021-08-30T16:03Z,2021-08-31T02:52Z,0.9564,-41.97,4.74,16.73,21.0,15.4,4.8,,,10.82,21.0,18.7,1.3,-11.7,-20.3,7.8,-7.5,9.2,,,,,,,,,,,,,,,
61,ICME_Wind_MOESTL_20210827_01,Wind,2021-08-27T00:14Z,2021-08-27T12:16Z,2021-08-28T14:30Z,0.9998,0.19,7.2,38.27,16.0,10.5,3.6,382.3,21.0,26.23,16.0,12.1,3.0,-5.2,-15.3,6.7,-7.4,4.2,371.2,14.9,,0.8,0.8,3.6,3.4,28461.0,29259.9,406.3,7.8,13.2,6.0,3.7,1.6
62,ICME_SOLO_MOESTL_20210825_01,SolarOrbiter,2021-08-25T01:06Z,2021-08-25T01:06Z,2021-08-25T10:43Z,0.6326,-76.4,-1.0,9.62,17.4,15.2,1.3,,,9.62,17.4,15.2,1.3,0.6,-13.5,5.4,-13.2,3.1,,,,,,,,,,,,,,,
63,ICME_SOLO_MOESTL_20210822_01,SolarOrbiter,2021-08-22T07:49Z,2021-08-22T13:38Z,2021-08-23T03:29Z,0.6447,-79.32,-1.19,19.67,24.8,20.6,3.2,,,13.85,24.8,22.1,1.9,-11.6,-22.5,6.5,13.8,7.9,,,,,,,,,,,,,,,
64,ICME_STEREO_A_MOESTL_20210809_01,STEREO-A,2021-08-09T17:28Z,2021-08-09T23:18Z,2021-08-10T08:36Z,0.9572,-43.69,2.32,15.13,10.1,7.8,1.3,,,9.3,10.1,8.2,1.2,0.3,-6.2,2.7,-7.6,1.3,,,,,,,,,,,,,,,
65,ICME_Wind_MOESTL_20210806_01,Wind,2021-08-06T10:00Z,2021-08-06T10:00Z,2021-08-07T04:16Z,1.0031,0.04,6.26,18.27,10.4,7.4,1.2,313.9,14.0,18.27,10.4,7.4,1.2,-6.1,-9.0,2.0,0.1,3.4,313.9,14.0,-13.4,2.9,0.7,17.2,3.9,32806.5,13038.9,,,,,,
